channel_name,channel_url,video_id,url,raw_duration,duration_sec,live_broadcast_content,included,excluded_reason
target_channel,https://www.youtube.com/@example,Zb2jDesstUw,https://www.youtube.com/watch?v=Zb2jDesstUw,PT3M45S,225,none,True,
target_channel,https://www.youtube.com/@example,_rsS5g5AXs0,https://www.youtube.com/watch?v=_rsS5g5AXs0,PT5M12S,312,none,True,
target_channel,https://www.youtube.com/@example,ncMrqaTx6YY,https://www.youtube.com/watch?v=ncMrqaTx6YY,PT3M43S,223,none,True,
target_channel,https://www.youtube.com/@example,2vpijJu5Qzs,https://www.youtube.com/watch?v=2vpijJu5Qzs,PT3M13S,193,none,True,
target_channel,https://www.youtube.com/@example,CqyP2FnNBA8,https://www.youtube.com/watch?v=CqyP2FnNBA8,PT1M13S,73,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,E-bYftKKIQA,https://www.youtube.com/watch?v=E-bYftKKIQA,PT4M35S,275,none,True,
target_channel,https://www.youtube.com/@example,Qo1D875UXZg,https://www.youtube.com/watch?v=Qo1D875UXZg,PT4M31S,271,none,True,
target_channel,https://www.youtube.com/@example,MlaH-Fnx5Us,https://www.youtube.com/watch?v=MlaH-Fnx5Us,PT3M8S,188,none,True,
target_channel,https://www.youtube.com/@example,A02Aq2caORw,https://www.youtube.com/watch?v=A02Aq2caORw,PT4M8S,248,none,True,
target_channel,https://www.youtube.com/@example,Pe3R9hXQE4Y,https://www.youtube.com/watch?v=Pe3R9hXQE4Y,PT37S,37,none,False,short_like_duration
target_channel,https://www.youtube.com/@example,Reo0PEtLvP4,https://www.youtube.com/watch?v=Reo0PEtLvP4,PT3M27S,207,none,True,
target_channel,https://www.youtube.com/@example,6pzGdIvd4Zw,https://www.youtube.com/watch?v=6pzGdIvd4Zw,PT3M1S,181,none,True,
target_channel,https://www.youtube.com/@example,3AJM2iXTl38,https://www.youtube.com/watch?v=3AJM2iXTl38,PT1M21S,81,none,False,short_like_duration
